Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
AL627309.1,1.87894681,2.840879857,2.77944642,3.902497125,2.897313026,4.706175106
AL627309.5,4.757978212,2.755653461,5.216221364,6.55146487,4.168583027,11.29482025
AL627309.4,0.636417468,0,0.418820693,0.283817973,0.325208605,0.815737018
AP006222.2,0.212139156,0.227270389,1.028014429,0,0,1.254980028
AC114498.1,0.212139156,0.482949576,0.114223825,0.141908986,0,0.313745007
AL669831.2,2.606281059,0.19886159,2.132178076,1.087968895,0.916496978,2.635458059
LINC01409,70.58172774,40.59617316,67.73472852,56.66898855,56.43847517,66.82768651
FAM87B,1.545585279,0.823855159,1.903730425,1.158923389,1.832993955,2.196215049
LINC01128,10.03115152,23.66452921,9.404428299,16.10666995,20.39944886,17.13047739
LINC00115,4.303394306,3.721552613,4.454729194,6.456858879,5.114644423,7.843625177
FAM41C,0.57580628,3.096559044,0.228447651,0.378423964,0.591288373,0.564741013
AL645608.6,6.485397053,6.193118088,2.550998769,4.730299545,2.099073723,1.474601533
AL645608.2,3.182087339,2.698835864,1.446835123,2.696270741,0.827803722,0.941235021
SAMD11,3.212392933,8.238551585,3.312490939,2.270543782,1.182576745,0.627490014
NOC2L,20.81994288,25.11337794,22.61631745,36.73077597,25.36627119,34.44920178
KLHL17,6.000507554,12.07373939,4.607027628,9.720765565,5.794626052,7.874999677
PLEKHN1,0.666723062,0.852263957,0.723417561,0.567635945,0.502595117,0.376494008
PERM1,0,0.255679187,0,0.283817973,0.384337442,0.501992011
AL645608.7,7.212731302,8.863545154,11.04163646,3.476770166,2.187766979,4.141434093
HES4,173.2873848,74.09014667,262.9432463,99.8093204,99.48426869,71.1573676
ISG15,48.76170027,15.31234243,32.40149183,14.68758009,17.7682156,14.65189183
AL645608.1,3.606365651,1.448848727,5.977713534,1.419089864,1.389527676,1.568725035
AGRN,15.57707516,37.27234372,15.64866409,23.74610372,14.78220932,17.5383459
C1orf159,38.21535366,39.40300362,32.74416331,56.88185203,51.44208842,42.19870345
AL390719.3,29.82070421,8.806727557,18.42811051,21.30999945,14.51612955,13.3027883
LINC01342,0.151527969,0.113635194,0.418820693,0.236514977,0,0.188247004
TTLL10,0.666723062,2.244295087,0.989939821,0.236514977,0.147822093,0.501992011
TNFRSF18,0,0.312496784,0,0.118257489,0,5.33366512
TNFRSF4,0.181833562,0.312496784,0,0.236514977,0.20695093,0.188247004
SDF4,33.30584748,65.28341911,31.25925358,42.5963474,37.81289143,46.12051604
B3GALT6,8.455260644,16.53392077,6.777280312,6.527813372,8.958018845,4.86304761
C1QTNF12,2.848725808,4.147684591,1.332611297,1.0406659,1.389527676,0.90986052
AL162741.1,0,0.454540777,0,0.165560484,0.236515349,0.250996006
UBE2J2,25.94158821,39.772318,23.22551118,29.30420568,25.57322212,28.92728965
LINC01786,3.818504807,3.153376641,3.80746085,9.034872131,6.001576982,8.43974069
SCNN1D,4.970117368,9.14763314,7.424548657,6.787979847,3.488601398,7.718127174
ACAP3,40.60949557,70.39700286,40.70175648,90.75079678,54.84199656,91.36254606
PUSL1,3.363920901,4.289728584,2.741371812,2.932785718,2.542540002,2.66683256
INTS11,17.8196891,31.10763443,18.92308042,27.71955534,17.32474932,27.10756861
CPTP,2.757809027,7.272652434,2.969819463,2.790876732,3.045135119,2.258964051
TAS1R3,0.81825103,2.130659893,0.380746085,0.165560484,0,0.188247004
DVL1,11.81918155,29.34628892,11.68890481,19.7253491,15.58044862,15.74999935
MXRA8,2.485058684,13.52258812,4.645102237,1.679256339,1.685171862,2.321713052
AURKAIP1,58.7322406,42.69842425,36.17087807,21.8539839,35.59556003,16.34611487
CCNL2,44.60983394,87.69796119,56.76924127,94.15661245,66.1651689,87.03286496
MRPL20-AS1,4.030643963,2.727244663,3.845535458,3.263906686,3.104263956,3.54531858
MRPL20,73.15770321,47.7267816,55.1320331,32.14238541,43.60751748,27.92330563
AL391244.2,2.182002747,2.698835864,1.446835123,1.442741361,1.448656513,1.192231027
ANKRD65,0.303055937,1.335213533,0.190373042,0.402075461,0.266079768,0.407868509
VWA1,5.182256524,11.33511063,4.492803803,4.446481573,3.429472561,3.10607557
ATAD3C,3.636671245,7.073790844,3.160192505,2.057680302,0.946061396,0.784362518
ATAD3B,16.88021569,16.90323515,19.83687103,29.49341766,18.18211746,30.71563619
ATAD3A,17.06204926,25.17019553,15.15369418,20.48219703,15.99435048,21.33466048
TMEM240,9.637178799,13.8634937,7.462623265,18.96850118,21.87766979,14.77738983
SSU72,42.09446966,54.06194368,30.42161219,29.20959969,35.77294654,26.88794711
AL645728.1,4.364005494,1.420439929,3.80746085,4.257269591,3.370343724,4.612051604
FNDC10,6.061118741,15.19870724,3.693237024,4.777602541,6.858945122,2.384462054
AL691432.4,1.363751717,0.624993569,0.913790604,4.801254038,4.020760934,5.082669114
AL691432.2,4.57614465,6.76129406,3.274416331,2.625316248,3.577294654,2.164840549
MIB2,14.00118429,29.8576473,15.19176879,24.24278517,16.76302536,28.51942114
MMP23B,2.969948183,7.982872398,1.979879642,1.892119818,1.271270001,2.855079564
CDK11B,25.75975465,32.10194238,22.95898892,31.33823449,23.68109932,32.84910224
FO704657.1,0.848556624,1.477257526,1.218387472,0.780499425,0.620852791,0.721613516
SLC35E2B,34.12409851,40.73821715,38.75995145,54.0909753,37.66506934,60.01941985
CDK11A,21.12299881,29.97128249,19.2657519,48.62747933,28.76617933,47.34412157
SLC35E2A,35.51815582,29.06220094,32.82031252,36.75442747,35.53643119,40.1279864
NADK,16.69838213,20.14183819,15.61058948,16.15397295,15.84652839,16.97360488
GNB1,217.6850796,221.9011256,196.9218751,249.239483,270.4553016,208.3266847
AL109917.1,0.81825103,0.340905583,0.456895302,0.662241936,0.886932559,0.658864515
CALML6,0,0.340905583,0.114223825,0.165560484,0.177386512,0.156872504
TMEM52,0.757639843,1.960207101,0.456895302,0.591287443,0.354773024,0.125498003
CFAP74,6.849064178,5.994256498,13.05959071,5.368889984,4.523356051,4.4238046
AL391845.2,0,0.113635194,0,0.165560484,0.266079768,0.313745007
GABRD,0.848556624,1.676119116,0.380746085,6.504161875,4.996386749,3.921812588
PRKCZ,27.39625671,41.16434913,18.8088566,65.27813372,60.40010726,63.50198943
AL590822.2,1.788030029,1.534075123,0.76149217,7.331964295,4.612049306,6.400398144
PRKCZ-AS1,1.818335622,3.749961411,1.827581208,0.922408411,0.620852791,0.941235021
FAAP20,33.33615308,41.95979549,29.5839708,31.97682493,31.63392794,29.05278765
AL590822.1,1.000084592,1.221578339,0.951865212,2.719922239,1.626043025,2.980577567
SKI,54.8834302,75.08445462,57.75918109,102.2690762,74.65015704,86.78186895
AL590822.3,1.303140529,1.846571907,3.122117897,1.111620393,1.330398838,1.411852532
MORN1,18.274273,24.68724596,27.03297203,26.77349543,22.02549188,26.19770809
AL513477.2,3.121476152,4.034049397,1.332611297,2.932785718,2.749490933,1.725597539
RER1,43.60974934,59.91415618,40.62560727,32.44985488,32.28434515,27.26444111
PEX10,20.2441366,17.10209674,19.11345347,17.19463885,11.88489629,16.40886387
PLCH2,3.545754464,8.693092363,1.561058948,18.63738021,16.31955908,25.16234957
AL139246.1,0.303055937,0.284087986,0.190373042,0.189211982,0,0.219621505
PANK4,3.091170558,11.27829303,2.474849552,3.571376157,4.671178144,4.612051604
HES5,20.7290261,2.698835864,6.739205704,12.79546027,11.02752815,1.851095542
AL139246.5,2.242613934,0.568175971,0.837641387,2.128634795,2.276460235,2.164840549
TNFRSF14,0,2.38633908,0.266522259,1.017014402,1.093883489,1.380478031
AL139246.3,1.06069578,0.312496784,1.599133557,0.283817973,0.295644186,0.533366512
PRXL2B,9.121983706,10.73852586,8.10989161,7.757691254,9.519742799,5.741533629
TTC34,3.394226495,4.403363778,19.30382651,2.530710257,1.389527676,2.478585556
PRDM16-DT,16.30440941,5.255627736,5.520818232,22.80004381,16.20130141,17.38147339
PRDM16,71.36967318,42.61319786,41.80592013,91.08191774,51.58991051,68.01991753
AL590438.1,1.757724435,0.454540777,1.142238255,0.922408411,0.916496978,0.784362518
AL354743.2,9.334122861,1.363622331,4.188206935,4.635693554,5.085080005,4.580677103
AL354743.1,0.909167811,0.284087986,0.456895302,0.354772466,0.413901861,0.721613516
ARHGEF16,0.484889499,0.79544636,0.49496991,0.969711407,0.827803722,0.533366512
MEGF6,3.060864964,7.15901724,2.132178076,5.037769016,3.488601398,2.572709058
AL513320.1,1.272834936,0.624993569,1.637208165,3.216603691,2.956441863,2.635458059
TPRG1L,4.970117368,9.176041938,3.921684675,4.68299655,9.431049543,3.796314586
WRAP73,10.78879136,14.65894006,10.01362203,14.45106511,12.32836257,14.02440182
TP73,3.970032776,9.34649473,2.322551118,0.780499425,0.325208605,0.533366512
CCDC27,0.57580628,1.9886159,1.142238255,0.260166475,0.413901861,0.43924301
LRRC47,16.91052129,20.36910857,15.07754496,19.63074311,17.17692722,18.63645342
CEP104,31.21476152,37.7552933,28.36558333,54.0673238,48.51521097,46.77938055
DFFB,11.0918473,15.28393363,8.262190044,20.55315152,18.80297025,21.71115449
C1orf174,8.576483019,10.08512349,4.454729194,4.139012102,5.114644423,3.451195078
LINC01134,0.393972718,0.880672756,0.723417561,0.283817973,0.266079768,0.282370506
LINC02780,0.606111874,0.59658477,0.533044519,0.236514977,0.236515349,0.345119508
AL805961.1,0.272750343,0.255679187,0,0.591287443,0.325208605,0.188247004
AJAP1,10.1220683,13.32372653,4.911624496,51.30009857,53.83680633,62.87449942
Z98886.1,0.545500687,0.284087986,0.228447651,0.898756914,1.212141164,1.505976034
LINC02781,0,0.454540777,0.228447651,0.30746947,0,0.156872504
AL365255.1,2.424447496,3.465873426,2.01795425,6.527813372,5.528546284,3.200199072
NPHP4,25.15364278,37.49961411,27.75638959,37.4876239,39.02503259,40.1593609
KCNAB2,14.03148989,15.02825444,10.69896499,25.09423909,26.25320374,35.01394279
CHD5,15.63768635,26.87472345,5.901564317,153.5928262,101.7607289,145.4208108
RPL22,252.9910963,187.157165,144.3789154,52.29346147,81.80474635,30.02539718
RNF207,10.36451305,5.596533318,8.071817001,21.09713597,15.19611118,11.82818677
ICMT,9.48565083,14.37485208,9.061756822,7.852297245,10.25885327,7.184760662
