Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
AL627309.1,0.504279874,0.762447627,0.745959855,1.047369062,0.777593405,1.263063636
AL627309.5,0.629445457,0.364552647,0.69006765,0.866710527,0.551472817,1.494221492
AL627309.4,1.392598398,0,0.91645666,0.621045892,0.711616203,1.784982535
AP006222.2,0.288232549,0.308791289,1.396758736,0,0,1.705135908
AC114498.1,0.334077411,0.760550513,0.17988004,0.223478719,0,0.494086625
AL669831.2,5.715528638,0.436099978,4.675829114,2.3858967,2.009861793,5.779513288
LINC01409,8.389602727,4.825409861,8.051197969,6.735883579,6.708483914,7.943383633
FAM87B,0.793829111,0.423140811,0.977776284,0.595235433,0.941445277,1.127999512
LINC01128,0.528678798,1.247208243,0.495648166,0.848881098,1.075126429,0.902839538
LINC00115,3.267573505,2.825780268,3.382482304,4.902702262,3.883556889,5.955675912
FAM41C,0.292139158,1.57105989,0.11590444,0.191995923,0.299994101,0.286525121
AL645608.6,18.47691468,17.64421108,7.267802761,13.47663688,5.980267017,4.201143969
AL645608.2,1.045707308,0.886899725,0.475463399,0.886056767,0.2720354,0.309311542
SAMD11,0.769804201,1.974251518,0.793791263,0.54410347,0.28338767,0.150369042
NOC2L,3.758112433,4.53310071,4.08236777,6.630103965,4.578749311,6.218267469
KLHL17,1.763817623,3.549012167,1.354211531,2.857367891,1.703299839,2.31481472
PLEKHN1,0.193197062,0.246961448,0.209625489,0.164484481,0.14563753,0.109097076
PERM1,0,0.07467266,0,0.082890763,0.112248085,0.146609816
AL645608.7,3.457685188,4.249062873,5.293210194,1.666716283,1.048785704,1.98534712
HES4,154.9976608,66.27025641,235.1907391,89.27488408,88.98414016,63.64701932
ISG15,56.24186883,17.66129461,37.3719629,16.94069214,20.49390496,16.89952922
AL645608.1,7.656827285,3.076111947,12.69153617,3.012929647,2.950164916,3.330626402
AGRN,1.447549035,3.463650564,1.454201663,2.206681881,1.373683609,1.629806328
C1orf159,6.044820257,6.232680104,5.179399447,8.99744575,8.136995954,6.67489773
AL390719.3,27.23351982,8.042673568,16.82932467,19.46118671,13.25673931,12.14866511
LINC01342,0.093535783,0.070145182,0.258531292,0.1459969,0,0.116201854
TTLL10,0.169090302,0.569184653,0.251062597,0.059983509,0.037489752,0.127312202
TNFRSF18,0,0.245866864,0,0.093042871,0,4.196432038
