Gene,hCS_d227_2242-1,hCS_d243_1208-2,hCS_d257_8119-1,t.hCS_d224_2242-1,t.hCS_d227_2242-1,t.hCS_d276_8119-1
AL627309.1,1.410790326,3.465152786,3.662581346,5.283231832,3.655172586,6.127572603
AL627309.5,3.291844095,2.117593369,5.860130153,8.057878765,5.047619286,14.69578853
AL627309.4,0.470263442,0,0,0.418097483,0.435139594,0.986643046
AP006222.2,0.352697582,0.192508488,0,0,0,1.402071697
AC114498.1,0.235131721,0,0.732516269,0.19004431,0,0.36350007
AL669831.2,1.528356187,0.577525464,1.465032538,1.140265863,0.913793147,2.856071976
LINC01409,66.4247112,39.84925703,63.72891541,59.97798439,60.57143143,70.93444216
FAM87B,1.528356187,0.770033952,2.930065076,1.178274725,1.610016496,2.388714743
LINC01128,12.10928364,36.19159576,18.31290673,19.68859057,23.36699618,22.22543283
LINC00115,2.586448932,4.235186738,3.662581346,6.461506557,5.134647205,7.685430044
FAM41C,0.822961024,4.04267825,0.732516269,0.570132931,0.565681472,0.830857302
AL645608.6,7.641780935,8.0853565,7.325162691,4.218983693,2.175697968,1.090500209
AL645608.2,4.937766143,2.502610345,3.662581346,2.964691244,1.000821065,0.675071558
SAMD11,2.11618549,4.812712202,4.395097615,0.950221552,1.000821065,0.623142977
NOC2L,19.75106457,27.14369682,24.17303688,39.79527862,27.06568272,37.49243576
KLHL17,6.936385772,19.82837427,7.325162691,12.39088904,7.092775376,9.918359043
PLEKHN1,1.175658605,1.925084881,0.732516269,0.836194966,0.739737309,0.415428651
PERM1,0,0.577525464,0,0.456106345,0.522167512,0.727000139
AL645608.7,1.998619629,8.855390452,3.662581346,3.154735554,2.219211928,5.192858138
HES4,112.8632261,71.61315757,147.2357701,90.76516269,89.943354,85.00708772
ISG15,45.26285631,16.74823846,19.045423,15.73566891,18.53694669,16.82486037
AL645608.1,3.056712374,2.117593369,1.465032538,1.596372208,1.522988578,1.402071697
AGRN,17.63487908,33.68898542,19.77793927,29.22881495,18.23234897,21.65421843
C1orf159,41.73588049,45.43200319,39.55587853,65.41325167,58.35221951,51.35736698
AL390719.3,27.62797723,9.625424404,28.5681345,24.51571605,16.2742208,15.83821732
LINC01342,0,0,0,0.19004431,0,0.207714326
TTLL10,0.470263442,0.385016976,0.732516269,0.342079759,0.174055837,0.675071558
TNFRSF18,0,0,0,0.19004431,0,7.997001532
TNFRSF4,0.117565861,0.192508488,0,0.266062035,0.261083756,0.311571488
SDF4,31.39008476,44.27695226,39.55587853,48.68935235,44.38423855,57.12143952
B3GALT6,9.757966425,15.97820451,7.325162691,7.183674936,9.660098979,5.037072394
C1QTNF12,3.526975816,5.197729178,2.197548807,1.292301311,1.827586293,1.14242879
AL162741.1,0,0.385016976,0,0.266062035,0.217569797,0.311571488
UBE2J2,21.98481592,36.38410425,15.38284165,29.60890357,26.71757105,29.65121997
LINC01786,2.23375135,3.465152786,2.197548807,8.818056007,6.048440351,7.89314437
SCNN1D,3.526975816,7.507831035,8.05767896,7.031639488,3.698686546,8.360501602
ACAP3,62.89773539,99.33437985,52.74117138,101.5596795,63.79146443,92.27708911
PUSL1,3.997239258,5.967763131,2.930065076,3.306771002,3.263546952,3.167643464
INTS11,15.87139117,33.49647693,15.38284165,28.65868202,18.58046065,32.14379187
CPTP,3.174278235,6.545288595,2.197548807,2.622611485,3.176519033,2.232928999
TAS1R3,1.293224466,2.887627321,0,0.114026586,0,0.155785744
DVL1,14.34303499,27.91373077,15.38284165,22.23518433,16.79638831,19.62900376
MXRA8,1.998619629,3.657661274,4.395097615,0.950221552,0.913793147,1.14242879
AURKAIP1,58.07753511,34.07400239,41.75342734,19.27049308,35.11576521,17.65571767
CCNL2,44.43989528,88.55390452,49.8111063,89.89095886,67.09852534,88.27858834
MRPL20-AS1,3.056712374,3.080135809,3.662581346,2.926682382,3.220032993,3.219572045
MRPL20,71.48004321,36.57661274,46.14852495,27.4804073,41.33826139,25.39307629
AL391244.2,1.645922048,4.04267825,2.930065076,1.368319036,1.566502537,0.882785883
ANKRD65,0.235131721,2.887627321,0,0.570132931,0.348111675,0.415428651
VWA1,4.937766143,7.507831035,5.127613884,2.774646933,1.871100253,1.350143116
ATAD3C,5.525595445,12.8980687,2.197548807,2.584602623,1.174876903,0.882785883
ATAD3B,16.45922048,23.29352706,19.045423,33.71386068,20.58210278,35.62300683
ATAD3A,18.69297183,26.18115438,13.91780911,23.14739702,18.62397461,25.13343339
TMEM240,9.522834704,15.59318753,9.522711499,21.58903367,24.628901,18.38271781
SSU72,40.67778775,45.04698621,24.17303688,27.93651364,36.11658627,27.72986246
AL645728.1,4.34993684,2.117593369,3.662581346,4.371019141,3.350574871,4.777429487
FNDC10,6.230990609,10.20294987,5.860130153,5.43526728,7.353859132,3.063786301
AL691432.4,1.881053769,0.385016976,0.732516269,6.689559729,5.613300758,7.685430044
AL691432.2,2.939146513,5.775254643,1.465032538,2.052478553,3.089491115,2.388714743
MIB2,12.93224466,28.29874775,16.84787419,26.03607054,19.32019796,36.35000696
MMP23B,1.528356187,2.117593369,0.732516269,2.35654945,1.3924467,4.15428651
CDK11B,22.69021108,26.95118833,20.51045554,31.77540871,24.8464708,36.14229264
FO704657.1,0.470263442,1.347559417,0.732516269,0.380088621,0.65270939,0.830857302
SLC35E2B,38.20890467,45.81702016,42.48594361,54.80877914,39.68473094,59.30243993
CDK11A,20.69159145,31.57139205,28.5681345,50.51377773,31.06896699,53.01908159
SLC35E2A,38.32647054,32.91895146,35.16078092,36.33647217,37.07389338,41.33515078
NADK,15.51869359,15.78569602,14.65032538,16.83792591,16.44827664,18.22693206
GNB1,256.5287077,259.8864589,231.475141,230.6377752,250.8144618,191.408751
AL109917.1,0.940526884,0.577525464,0,0.646150656,0.739737309,0.727000139
CALML6,0,0.192508488,0,0.228053173,0.261083756,0.207714326
TMEM52,0.705395163,3.080135809,1.465032538,0.798186104,0.522167512,0.155785744
CFAP74,4.34993684,3.657661274,4.395097615,6.727568591,5.743842636,6.750715579
AL391845.2,0,0.192508488,0,0.19004431,0.304597716,0.36350007
GABRD,1.410790326,3.850169762,2.197548807,9.274162352,6.396552026,6.075644021
PRKCZ,45.49798803,66.60793688,53.47368765,84.87378906,73.97373092,85.94180218
AL590822.2,4.232370979,2.887627321,2.930065076,10.07234846,6.17898223,9.606787555
PRKCZ-AS1,1.410790326,2.887627321,0.732516269,0.836194966,0.739737309,1.350143116
FAAP20,29.62659686,36.38410425,31.49819957,34.36001134,33.89737434,32.19572045
AL590822.1,1.058092745,1.347559417,1.465032538,3.458806451,1.914614212,4.258143673
SKI,61.72207678,88.9389215,46.88104122,101.9397681,77.58538954,87.49965962
AL590822.3,0.705395163,1.347559417,1.465032538,1.254292449,1.479474618,1.765571767
MORN1,13.28494224,20.59840823,13.91780911,32.00346189,24.36781724,32.55922052
