"Gene"
"ENSG00000174332.5|GLIS1"
"ENSG00000056277.15|ZNF280C"
"ENSG00000105193.8|RPS16"
"ENSG00000175093.4|SPSB4"
"ENSG00000176381.5|PRR18"
"ENSG00000177981.10|ASB8"
"ENSG00000264324.1|RP11-287D1.3"
"ENSG00000122591.11|FAM126A"
"ENSG00000183780.12|SLC35F3"
"ENSG00000135917.13|SLC19A3"
"ENSG00000124205.15|EDN3"
"ENSG00000117118.9|SDHB"
"ENSG00000146453.12|PNLDC1"
"ENSG00000175274.18|TP53I11"
"ENSG00000082482.13|KCNK2"
"ENSG00000173757.9|STAT5B"
"ENSG00000134697.12|GNL2"
"ENSG00000105711.10|SCN1B"
"ENSG00000112578.9|BYSL"
"ENSG00000185808.13|PIGP"
"ENSG00000106609.16|TMEM248"
"ENSG00000150347.14|ARID5B"
"ENSG00000178409.13|BEND3"
"ENSG00000235499.1|AC073046.25"
"ENSG00000158352.15|SHROOM4"
"ENSG00000154153.13|FAM134B"
"ENSG00000240694.8|PNMA2"
"ENSG00000149090.11|PAMR1"
"ENSG00000250132.6|RP11-359B12.2"
"ENSG00000101439.8|CST3"
"ENSG00000143502.14|SUSD4"
"ENSG00000120049.18|KCNIP2"
"ENSG00000142233.11|NTN5"
"ENSG00000070729.13|CNGB1"
"ENSG00000168411.13|RFWD3"
"ENSG00000100201.19|DDX17"
"ENSG00000162738.5|VANGL2"
"ENSG00000143442.21|POGZ"
"ENSG00000196363.9|WDR5"
"ENSG00000108219.14|TSPAN14"
"ENSG00000132911.4|NMUR2"
"ENSG00000233009.1|NALCN-AS1"
"ENSG00000161896.11|IP6K3"
"ENSG00000187840.4|EIF4EBP1"
"ENSG00000149591.16|TAGLN"
"ENSG00000261716.1|RP11-196G18.22"
"ENSG00000187098.14|MITF"
"ENSG00000166971.16|AKTIP"
"ENSG00000136010.13|ALDH1L2"
"ENSG00000168495.12|POLR3D"
"ENSG00000082641.15|NFE2L1"
"ENSG00000083454.21|P2RX5"
"ENSG00000170854.17|MINA"
"ENSG00000163219.11|ARHGAP25"
"ENSG00000109738.10|GLRB"
"ENSG00000076864.19|RAP1GAP"
"ENSG00000183908.5|LRRC55"
"ENSG00000164161.9|HHIP"
"ENSG00000203650.8|LINC01285"
"ENSG00000231437.3|RP11-88H9.2"
"ENSG00000100987.14|VSX1"
"ENSG00000170634.12|ACYP2"
"ENSG00000080822.16|CLDND1"
"ENSG00000148411.7|NACC2"
"ENSG00000197566.9|ZNF624"
"ENSG00000232295.7|RP11-154D6.1"
"ENSG00000109689.14|STIM2"
"ENSG00000267629.3|AC138430.4"
"ENSG00000140280.13|LYSMD2"
"ENSG00000183831.6|ANKRD45"
"ENSG00000112144.15|ICK"
"ENSG00000101188.4|NTSR1"
"ENSG00000137871.19|ZNF280D"
"ENSG00000119411.10|BSPRY"
"ENSG00000021762.19|OSBPL5"
"ENSG00000182698.11|RESP18"
"ENSG00000173698.17|ADGRG2"
"ENSG00000124444.15|ZNF576"
"ENSG00000144681.10|STAC"
"ENSG00000160014.16|CALM3"
"ENSG00000067842.17|ATP2B3"
"ENSG00000236700.5|LINC01010"
"ENSG00000166682.10|TMPRSS5"
"ENSG00000114796.15|KLHL24"
"ENSG00000171533.11|MAP6"
"ENSG00000221890.2|NPTXR"
"ENSG00000236268.5|LINC01361"
"ENSG00000157103.10|SLC6A1"
"ENSG00000165886.4|UBTD1"
"ENSG00000140931.19|CMTM3"
"ENSG00000109381.19|ELF2"
"ENSG00000254746.5|RP11-958J22.1"
"ENSG00000196141.13|SPATS2L"
"ENSG00000047365.11|ARAP2"
"ENSG00000276408.1|RP11-490B18.5"
"ENSG00000100600.14|LGMN"
"ENSG00000277462.1|ZNF670"
"ENSG00000172466.15|ZNF24"
