"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","AC107029.2",-6.94866721249487,6.42428973150373e-36,2.82989962672739e-32,"pseudobulk","edgeR","LRT"
"GluN","AC112770.1",-6.62237152262812,5.01894815347708e-11,3.19091270747352e-09,"pseudobulk","edgeR","LRT"
"GluN","AL513323.1",-6.03648812624024,4.90696383500387e-31,1.0807587846596e-27,"pseudobulk","edgeR","LRT"
"GluN","AC079910.1",-5.92065650399483,1.34831250350966e-31,3.19809354197848e-28,"pseudobulk","edgeR","LRT"
"GluN","AL360178.1",-5.90139698784548,8.60071803053871e-20,2.57478777156952e-17,"pseudobulk","edgeR","LRT"
"GluN","COL8A1",-5.80496431910484,1.42515705483507e-20,4.82908986657575e-18,"pseudobulk","edgeR","LRT"
"GluN","LINC01499",-5.66527471022524,7.90263018439476e-16,1.18867122797957e-13,"pseudobulk","edgeR","LRT"
"GluN","AL359313.1",-5.64605583509735,2.30132247919023e-37,1.77403196614577e-33,"pseudobulk","edgeR","LRT"
"GluN","QRFPR",-5.58448277297741,2.47578249872756e-21,1.00448359668769e-18,"pseudobulk","edgeR","LRT"
"GluN","AL356113.1",-5.53570466462556,1.30665919720369e-27,1.4922531979917e-24,"pseudobulk","edgeR","LRT"
"GluN","LINC00702",-5.36629171584054,1.72569697944541e-13,1.7678360917342e-11,"pseudobulk","edgeR","LRT"
"GluN","ARHGAP25",-5.36269603778493,1.01995719707811e-36,5.93034491808895e-33,"pseudobulk","edgeR","LRT"
"GluN","AC079949.3",-5.28773681506441,3.36795822575074e-28,4.15403967564096e-25,"pseudobulk","edgeR","LRT"
"GluN","AC026167.1",-5.20698212935913,6.89010153995487e-35,2.36062534427232e-31,"pseudobulk","edgeR","LRT"
"GluN","AC060765.1",-5.17622063467089,1.89456058499451e-13,1.91536969305921e-11,"pseudobulk","edgeR","LRT"
"GluN","LINC02217",-5.1648350588844,7.45612249572737e-18,1.60775900108918e-15,"pseudobulk","edgeR","LRT"
"GluN","DRD3",-5.11166771868284,3.41024193939925e-38,3.50516034004586e-34,"pseudobulk","edgeR","LRT"
"GluN","TMEM244",-5.01108189158312,1.82266126271788e-22,9.36696000598429e-20,"pseudobulk","edgeR","LRT"
"GluN","RNF144B",-4.97882577039226,8.31417691126814e-15,1.04213175451769e-12,"pseudobulk","edgeR","LRT"
"GluN","HTR4",-4.93122610827401,1.31709052143759e-12,1.13442698962369e-10,"pseudobulk","edgeR","LRT"
"GluN","OTOGL",-4.90996736917645,1.19116280291929e-14,1.46918020112065e-12,"pseudobulk","edgeR","LRT"
"GluN","CBLN2",-4.90880318890606,5.23728773807063e-07,1.13407140030483e-05,"pseudobulk","edgeR","LRT"
"GluN","PCDH11Y",-4.89672403347987,7.72971881161495e-11,4.6918480227588e-09,"pseudobulk","edgeR","LRT"
"GluN","ITGA8",-4.88868510543512,7.01415924179057e-26,6.36122353590036e-23,"pseudobulk","edgeR","LRT"
"GluN","VIPR1-AS1",-4.81326489034062,3.08780163112102e-23,1.83100698645417e-20,"pseudobulk","edgeR","LRT"
"GluN","AC090138.1",-4.77128706417048,1.40888532108789e-09,6.33279575448178e-08,"pseudobulk","edgeR","LRT"
"GluN","AC011995.2",-4.75774965167919,1.18722360703229e-35,4.5760049903551e-32,"pseudobulk","edgeR","LRT"
"GluN","KIAA1217",-4.71060415777701,2.39752853344099e-19,6.60069574362973e-17,"pseudobulk","edgeR","LRT"
"GluN","TRHDE-AS1",-4.6774712990238,9.85892561052618e-26,8.44444364446041e-23,"pseudobulk","edgeR","LRT"
"GluN","PHLDB2",-4.60540256063584,1.7731201764053e-16,2.98765905133646e-14,"pseudobulk","edgeR","LRT"
"GluN","AC087857.1",-4.58268133522486,9.12028527146145e-32,2.34353330287928e-28,"pseudobulk","edgeR","LRT"
"GluN","VIPR1",-4.56680961676558,2.44073842377455e-22,1.21387369834013e-19,"pseudobulk","edgeR","LRT"
"GluN","GLDN",-4.48422841230391,8.37350410806224e-19,2.06557599337679e-16,"pseudobulk","edgeR","LRT"
"GluN","ATP10A",-4.47346236283358,5.06444020070315e-28,6.00623129187237e-25,"pseudobulk","edgeR","LRT"
"GluN","ERICH3",-4.41793582762237,2.61512395850412e-16,4.28922059896141e-14,"pseudobulk","edgeR","LRT"
"GluN","AL158064.1",-4.36762540835568,1.58343079138472e-20,5.25000951100514e-18,"pseudobulk","edgeR","LRT"
"GluN","PDE7B",-4.31311935345748,2.78875486770443e-21,1.11676956293073e-18,"pseudobulk","edgeR","LRT"
"GluN","LINC02458",-4.22774064907245,1.61266817222116e-40,4.97266230904393e-36,"pseudobulk","edgeR","LRT"
"GluN","IL1RAP",-4.2245859926466,3.15832612375035e-24,2.16415524501871e-21,"pseudobulk","edgeR","LRT"
