"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type"
"GluN","A1BG",0.605340220724392,0.0274951533921472,0.0841489278846399,"pseudobulk","edgeR","LRT"
"GluN","A1BG-AS1",-0.738721895653406,0.0290382686774958,0.087861349688017,"pseudobulk","edgeR","LRT"
"GluN","A1CF",0.596142452744078,0.14024618854287,0.27623706315678,"pseudobulk","edgeR","LRT"
"GluN","A2M",-0.128961235316625,0.684289466076525,0.802650094585729,"pseudobulk","edgeR","LRT"
"GluN","A2M-AS1",-0.351523013949382,0.435757926066005,0.601782320415857,"pseudobulk","edgeR","LRT"
"GluN","A2ML1",1.01363923328196,0.00811752756203364,0.0329868163383378,"pseudobulk","edgeR","LRT"
"GluN","A2ML1-AS1",1.59802354676681,4.30556952515874e-07,9.52383330762336e-06,"pseudobulk","edgeR","LRT"
"GluN","A3GALT2",0.906715370808694,0.0301818304211846,0.0906101393279357,"pseudobulk","edgeR","LRT"
"GluN","A4GALT",2.63111708155415,0.000755832887353399,0.00508864785412758,"pseudobulk","edgeR","LRT"
"GluN","A4GNT",0.136370014520975,0.937843013906701,0.965150727940324,"pseudobulk","edgeR","LRT"
"GluN","AAAS",0.24036340274655,0.48118123802108,0.641415505549887,"pseudobulk","edgeR","LRT"
"GluN","AACS",-0.725059135479687,0.00774301712794462,0.0317494591941719,"pseudobulk","edgeR","LRT"
"GluN","AADAC",5.78430642323354,0.000331790575218943,0.00258613811599497,"pseudobulk","edgeR","LRT"
"GluN","AADACL2",4.73087764400996,0.00191882246670867,0.0106515022507047,"pseudobulk","edgeR","LRT"
"GluN","AADACL2-AS1",1.64366376303637,0.00267661218177612,0.013882895166436,"pseudobulk","edgeR","LRT"
"GluN","AADACL3",4.73087764400996,0.00191882246670867,0.0106515022507047,"pseudobulk","edgeR","LRT"
"GluN","AADACL4",5.61124579580909,2.91170617535001e-05,0.000349348093061936,"pseudobulk","edgeR","LRT"
"GluN","AADAT",-0.77812668864017,0.00739303956462341,0.0305910326053627,"pseudobulk","edgeR","LRT"
